Data_Point,Date_Time,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),dV/dt(V/s),Internal_Resistance(Ohm),dQ/dV(Ah/V),dV/dQ(V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,MetaCode_MV_UD4,MetaCode_MV_UD5,MetaCode_MV_UD6,MetaCode_MV_UD7,MetaCode_MV_UD8,MetaCode_MV_UD9,MetaCode_MV_UD10,MetaCode_MV_UD11,MetaCode_MV_UD12,MetaCode_MV_UD13,MetaCode_MV_UD14,MetaCode_MV_UD15,MetaCode_MV_UD16,Aux_Temperature_1(C),Aux_dT/dt_1(C)
1,2022/07/29 10:53:50,300.0003,300.0002,1,1,0,0,0,0,0,3.772776,0,0,0,0,0,,0.0000081783473433461,,0,0,3.70000004768372,-27.5,6,0.0500000007450581,10,0.995000004768372,4.34999990463257,3,0.185000002384186,-55,12,0,0,0,0,0,24.94938,0.007389188
2,2022/07/29 10:56:36,466.0033,466.0032,1,1,0,0,0,0,0,3.772812,0,0,0,0,0,,0.00000975951297732536,0,0,0,,,,,,,,,,,,,,,,,24.82178,-0.01745164
3,2022/07/29 12:26:14,766.0317,766.0316,1,1,0,0,0,0,0,3.773623,0,0,0,0,0,,-0.0000220068395719863,,0,0,3.70000004768372,-27.5,6,0.0500000007450581,10,0.995000004768372,4.34999990463257,3,0.185000002384186,-55,12,0,0,0,0,0,24.88172,0.02132773
4,2022/07/29 12:31:14,1066.0317,1066.0316,1,1,0,0,0,0,0,3.773454,0,0,0,0,0,,-0.0000191250092029804,,0,0,,,,,,,,,,,,,,,,,24.82583,0
5,2022/07/29 12:36:14,1366.0316,1366.0315,1,1,0,0,0,0,0,3.77353,0,0,0,0,0,,-0.0000190052105608629,,0,0,,,,,,,,,,,,,,,,,24.82395,0.00150919
6,2022/07/29 12:41:14,1666.0313,1666.0312,1,1,0,0,0,0,0,3.773535,0,0,0,0,0,,0.0000101144496511552,,0,0,,,,,,,,,,,,,,,,,24.86145,-0.01224399
7,2022/07/29 12:46:14,1966.0323,1966.0322,1,1,0,0,0,0,0,3.773473,0,0,0,0,0,,0.0000263923993770732,,0,0,,,,,,,,,,,,,,,,,24.79108,0.01172304
8,2022/07/29 12:51:14,2266.0315,2266.0314,1,1,0,0,0,0,0,3.773626,0,0,0,0,0,,0.0000201527200260898,,0,0,,,,,,,,,,,,,,,,,24.84265,0.002692938
9,2022/07/29 12:56:14,2566.0314,2566.0313,1,1,0,0,0,0,0,3.77353,0,0,0,0,0,,0.000000513628776843689,,0,0,,,,,,,,,,,,,,,,,24.8567,-0.01721561
10,2022/07/29 13:01:14,2866.0317,2866.0316,1,1,0,0,0,0,0,3.773643,0,0,0,0,0,,0.00000158061902766349,,0,0,,,,,,,,,,,,,,,,,24.8454,-0.008317232
11,2022/07/29 13:06:14,3166.0318,3166.0317,1,1,0,0,0,0,0,3.773606,0,0,0,0,0,,0.0000205063206522027,,0,0,,,,,,,,,,,,,,,,,24.83707,0.008642673
12,2022/07/29 13:11:14,3466.0312,3466.0311,1,1,0,0,0,0,0,3.773498,0,0,0,0,0,,-0.00000485967802887899,,0,0,,,,,,,,,,,,,,,,,24.87691,0.01152098
13,2022/07/29 13:13:28,3600.0036,3600.0035,1,1,0,0,0,0,0,3.773512,0,0,0,0,0,,-0.0000157267695612973,0,0,0,,,,,,,,,,,,,,,,,24.85326,0.007916093
14,2022/07/29 13:13:38,3610.0471,10.0012,1,2,0,0,0,0,1.850243,3.803054,7.036574042122,0.004903332,0.00001932105,0.01863488,0.00007290766,,0.000495175889227539,,0.579510092735291,247.177398681641,,,,,,,,,,,,,,,,,24.83984,-0.007914901
15,2022/07/29 13:13:48,3620.0464,20.0005,1,2,0,0,0,0,1.850441,3.805868,7.042534187788,0.01004056,0.00001932105,0.03817957,0.00007290766,,0.000251328106969595,,,1.84644794464111,,,,,,,,,,,,,,,,,24.8673,-0.01085758
16,2022/07/29 13:13:58,3630.0459,30,1,2,0,0,0,0,1.850334,3.807927,7.045936797618,0.01518051,0.00001932105,0.05774681,0.00007290766,,0.000222503702389076,,1.6600079536438,,,,,,,,,,,,,,,,,,24.85408,0.000256896
17,2022/07/29 13:14:08,3640.0459,40,1,2,0,0,0,0,1.849991,3.809369,7.047298365679,0.02031898,0.00001932105,0.07731767,0.00007290766,,0.00016427670198027,,,,,,,,,,,,,,,,,,,,24.8011,-0.00936985
18,2022/07/29 13:14:18,3650.0461,50.0002,1,2,0,0,0,0,1.85006,3.811055,7.0506804133,0.0254564,0.00001932105,0.09689229,0.00007290766,,0.000176658693817444,,,,,,,,,,,,,,,,,,,,24.8319,0.01302838
19,2022/07/29 13:14:28,3660.0463,60.0004,1,2,0,0,0,0,1.850555,3.812071,7.054447049405,0.03059642,0.00001932105,0.116484,0.00007290766,,0.000149626197526231,,3.25770401954651,,,,,,,,,,,,,,,,,,24.83023,0.003669858
20,2022/07/29 13:14:38,3670.0462,70.0003,1,2,0,0,0,0,1.850121,3.813572,7.055569642212,0.03573334,0.00001932105,0.1360703,0.00007290766,,0.000114548798592295,,,0.33526811003685,,,,,,,,,,,,,,,,,24.82708,0.003400445
21,2022/07/29 13:14:48,3680.0463,80.0004,1,2,0,0,0,0,1.849754,3.814582,7.056038312828,0.04087083,0.00001932105,0.155665,0.00007290766,,0.0000938477824092843,,,,,,,,,,,,,,,,,,,,24.77597,-0.01550853
22,2022/07/29 13:14:58,3690.0473,90.0014,1,2,0,0,0,0,1.850571,3.815736,7.061290385256,0.04601107,0.00001932105,0.175276,0.00007290766,,0.000149131898069754,,,,,,,,,,,,,,,,,,,,24.81684,0.01402318
23,2022/07/29 13:15:08,3700.0473,100.0014,1,2,0,0,0,0,1.850266,3.816657,7.061830680762,0.05115113,0.00001932105,0.1948919,0.00007290766,,0.000090426103270147,,4.36781406402588,,,,,,,,,,,,,,,,,,24.80739,-0.01375735
24,2022/07/29 13:15:18,3710.0466,110.0007,1,2,0,0,0,0,1.850365,3.817832,7.06438270868,0.05628961,0.00001932105,0.2145069,0.00007290766,,0.0000633022063993849,,,,,,,,,,,,,,,,,,,,24.78604,-0.01504898
25,2022/07/29 13:15:28,3720.0459,120,1,2,0,0,0,0,1.850365,3.818611,7.065824143015,0.0614274,0.00001932105,0.2341244,0.00007290766,,,,,,,,,,,,,,,,,,,,,,24.82478,0.01040697
26,2022/07/29 13:15:38,3730.0469,130.001,1,2,0,0,0,0,1.850281,3.819629,7.067386965749,0.06656691,0.00001932105,0.2537532,0.00007290766,,0.0000764510332373902,,,,,,,,,,,,,,,,,,,,24.82379,-0.008120537
27,2022/07/29 13:15:48,3740.047,140.0011,1,2,0,0,0,0,1.850479,3.820548,7.069843842492,0.07170478,0.00001932105,0.2733804,0.00007290766,,0.0000882655367604457,,,,,,,,,,,,,,,,,,,,24.8466,-0.01008689
28,2022/07/29 13:15:58,3750.0465,150.0006,1,2,0,0,0,0,1.85006,3.821266,7.06957137596,0.07684164,0.00001932105,0.2930082,0.00007290766,,0.000124180805869401,,,,,,,,,,,,,,,,,,,,24.79316,-0.004910231
29,2022/07/29 13:16:08,3760.0471,160.0012,1,2,0,0,0,0,1.84993,3.822433,7.07123347969,0.08198155,0.00001932105,0.3126521,0.00007290766,,0.0000943691629800014,,5.5164361000061,,,,,,,,,,,,,,,,,,24.85539,0.02559662
