State_of_Charge,StateofCharge,Voltage,DischargeVoltage,ChargeVoltage,DischargeEnergy
0,0,3.1238385,2.999998,3.247679,15.11625284
0.002,0.2,3.213875,3.118556,3.309194,15.09078284
0.004,0.4,3.26805,3.182432,3.353668,15.06644284
0.006,0.6,3.3093725,3.229037,3.389708,15.04169284
0.008,0.8,3.3437825,3.267162,3.420403,15.01661284
0.01,1,3.3691745,3.299883,3.438466,14.99125284
0.012,1.2,3.3957945,3.328547,3.463042,14.96566284
0.014,1.4,3.419604,3.353745,3.485463,14.93986284
0.016,1.6,3.440955,3.376797,3.505113,14.91388284
0.018,1.8,3.460747,3.397657,3.523837,14.88772284
0.02,2,3.4788665,3.416954,3.540779,14.86141284
0.022,2.2,3.4955675,3.434614,3.556521,14.83496284
0.024,2.4,3.511262,3.451244,3.57128,14.80837284
0.026,2.6,3.523662,3.466809,3.580515,14.78166284
0.028,2.8,3.537705,3.481358,3.594052,14.75483284
0.03,3,3.550456,3.49472,3.606192,14.72789284
0.032,3.2,3.5641175,3.510092,3.618143,14.69633284
0.034,3.4,3.5757445,3.522225,3.629264,14.66918284
0.036,3.6,3.5863055,3.533504,3.639107,14.64193284
0.038,3.8,3.59716,3.544271,3.650049,14.61460284
0.04,4,3.6069955,3.554599,3.659392,14.58719284
0.042,4.2,3.61518,3.564405,3.665955,14.55970284
0.044,4.4,3.624265,3.573802,3.674728,14.53213284
0.046,4.6,3.632764,3.582373,3.683155,14.50450284
0.048,4.8,3.641025,3.590905,3.691145,14.47680284
0.05,5,3.6489405,3.598634,3.699247,14.44904284
0.052,5.2,3.6564885,3.606369,3.706608,14.42121284
0.054,5.4,3.663237,3.61301,3.713464,14.39334284
0.056,5.6,3.669636,3.619267,3.720005,14.36540284
0.058,5.8,3.674729,3.625238,3.72422,14.33743284
0.06,6,3.679939,3.630289,3.729589,14.30942284
0.062,6.2,3.6844775,3.635039,3.733916,14.28136284
0.064,6.4,3.688106,3.6392,3.737012,14.25328284
0.066,6.6,3.690997,3.642822,3.739172,14.22048284
0.068,6.8,3.6932315,3.645497,3.740966,14.19234284
0.07,7,3.6950175,3.648015,3.74202,14.16417284
0.072,7.2,3.6963025,3.649675,3.74293,14.13599284
0.074,7.4,3.6976675,3.65167,3.743665,14.10780284
0.076,7.6,3.698678,3.653164,3.744192,14.07960284
0.078,7.8,3.6996015,3.654444,3.744759,14.05138284
0.08,8,3.7005465,3.655735,3.745358,14.02315284
0.082,8.2,3.7012765,3.656711,3.745842,13.99491284
0.084,8.4,3.7022795,3.657676,3.746883,13.96667284
0.086,8.6,3.702955,3.658564,3.747346,13.93842284
0.088,8.8,3.7035165,3.659205,3.747828,13.91016284
0.09,9,3.704327,3.660163,3.748491,13.88189284
0.092,9.2,3.704904,3.660701,3.749107,13.85362284
0.094,9.4,3.7057065,3.661447,3.749966,13.82535284
0.096,9.6,3.7063135,3.662099,3.750528,13.79708284
0.098,9.8,3.706978,3.662703,3.751253,13.76408284
0.1,10,3.7077385,3.663305,3.752172,13.73579284
0.102,10.2,3.7085625,3.663982,3.753143,13.70751284
0.104,10.4,3.7091545,3.664373,3.753936,13.67920284
0.106,10.6,3.709767,3.665038,3.754496,13.65090284
0.108,10.8,3.7106,3.665364,3.755836,13.62260284
0.11,11,3.7113945,3.665996,3.756793,13.59429284
0.112,11.2,3.712047,3.666473,3.757621,13.56598284
0.114,11.4,3.712882,3.667166,3.758598,13.53766284
0.116,11.6,3.713602,3.667461,3.759743,13.50934284
0.118,11.8,3.7145125,3.667943,3.761082,13.48102284
0.12,12,3.7154275,3.66859,3.762265,13.45269284
0.122,12.2,3.7157535,3.669331,3.762176,13.42435284
0.124,12.4,3.716968,3.669758,3.764178,13.39601284
0.126,12.6,3.7182845,3.670941,3.765628,13.36767284
0.128,12.8,3.7193295,3.671678,3.766981,13.33931284
0.13,13,3.7204825,3.672777,3.768188,13.31095284
0.132,13.2,3.7220105,3.67453,3.769491,13.27786284
0.134,13.4,3.7232715,3.675791,3.770752,13.24947284
0.136,13.6,3.72488,3.677295,3.772465,13.22107284
0.138,13.8,3.725993,3.678806,3.77318,13.19266284
0.14,14,3.7275085,3.680234,3.774783,13.16424284
0.142,14.2,3.728938,3.681852,3.776024,13.13581284
0.144,14.4,3.730259,3.682852,3.777666,13.10737284
0.146,14.6,3.731738,3.684371,3.779105,13.07892284
0.148,14.8,3.733036,3.685723,3.780349,13.05046284
0.15,15,3.734295,3.686861,3.781729,13.02199284
0.152,15.2,3.7357765,3.688278,3.783275,12.99351284
0.154,15.4,3.7367575,3.689231,3.784284,12.96503284
0.156,15.6,3.7378275,3.69045,3.785205,12.93653284
0.158,15.8,3.73919,3.691435,3.786945,12.90802284
0.16,16,3.7404995,3.692482,3.788517,12.87951284
0.162,16.2,3.7417525,3.693446,3.790059,12.85099284
0.164,16.4,3.742647,3.694169,3.791125,12.82246284
0.166,16.6,3.7439565,3.695413,3.7925,12.78917284
0.168,16.8,3.745129,3.696552,3.793706,12.76062284
0.17,17,3.7460395,3.697342,3.794737,12.73208284
0.172,17.2,3.747179,3.698362,3.795996,12.70352284
0.174,17.4,3.748164,3.699276,3.797052,12.67495284
0.176,17.6,3.7491725,3.700027,3.798318,12.64638284
0.178,17.8,3.750419,3.701245,3.799593,12.61780284
0.18,18,3.75148,3.702033,3.800927,12.58921284
0.182,18.2,3.7523095,3.702837,3.801782,12.56062284
0.184,18.4,3.7535615,3.704146,3.802977,12.53202284
0.186,18.6,3.754441,3.705003,3.803879,12.50340284
0.188,18.8,3.755461,3.705895,3.805027,12.47479284
0.19,19,3.7564425,3.706951,3.805934,12.44617284
0.192,19.2,3.7574375,3.707854,3.807021,12.41754284
0.194,19.4,3.7587485,3.709035,3.808462,12.38891284
0.196,19.6,3.7595485,3.709746,3.809351,12.36026284
0.198,19.8,3.7605775,3.710768,3.810387,12.32683284
0.2,20,3.7616465,3.711821,3.811472,12.29816284
0.202,20.2,3.7625325,3.712635,3.81243,12.26949284
0.204,20.4,3.763513,3.713516,3.81351,12.24082284
0.206,20.6,3.764437,3.71438,3.814494,12.21213284
0.208,20.8,3.765204,3.714989,3.815419,12.18344284
0.21,21,3.766345,3.7161,3.81659,12.15475284
0.212,21.2,3.767378,3.716828,3.817928,12.12605284
0.214,21.4,3.768268,3.717546,3.81899,12.09734284
0.216,21.6,3.769135,3.71839,3.81988,12.06863284
0.218,21.8,3.7698585,3.718965,3.820752,12.03991284
0.22,22,3.7708695,3.719819,3.82192,12.01119284
0.222,22.2,3.7716115,3.720272,3.822951,11.98245284
0.224,22.4,3.7725215,3.721325,3.823718,11.95372284
0.226,22.6,3.7734145,3.721926,3.824903,11.92498284
0.228,22.8,3.773997,3.722129,3.825865,11.89623284
0.23,23,3.775058,3.72317,3.826946,11.86748284
0.232,23.2,3.775874,3.723958,3.82779,11.83392284
0.234,23.4,3.776397,3.724418,3.828376,11.80516284
0.236,23.6,3.777251,3.72516,3.829342,11.77639284
0.238,23.8,3.778007,3.725604,3.83041,11.74762284
0.24,24,3.778653,3.726503,3.830803,11.71884284
0.242,24.2,3.7793275,3.727005,3.83165,11.69006284
0.244,24.4,3.779946,3.727581,3.832311,11.66127284
0.246,24.6,3.7809325,3.728434,3.833431,11.63248284
0.248,24.8,3.781533,3.728889,3.834177,11.60368284
0.25,25,3.7817695,3.729394,3.834145,11.57488284
0.252,25.2,3.782587,3.730084,3.83509,11.54607284
0.254,25.4,3.7832915,3.730576,3.836007,11.51727284
0.256,25.6,3.784038,3.73148,3.836596,11.48845284
0.258,25.8,3.7845095,3.731977,3.837042,11.45963284
0.26,26,3.7851525,3.732755,3.83755,11.43081284
0.262,26.2,3.785954,3.733655,3.838253,11.40198284
0.264,26.4,3.786461,3.733938,3.838984,11.37314284
0.266,26.6,3.786854,3.734896,3.838812,11.33949284
0.268,26.8,3.7875885,3.735674,3.839503,11.31064284
0.27,27,3.788297,3.736324,3.84027,11.28179284
0.272,27.2,3.7889245,3.737046,3.840803,11.25293284
0.274,27.4,3.7892705,3.737619,3.840922,11.22406284
0.276,27.6,3.789935,3.738395,3.841475,11.19519284
0.278,27.8,3.790519,3.739145,3.841893,11.16631284
0.28,28,3.791043,3.739608,3.842478,11.13744284
0.282,28.2,3.791543,3.740598,3.842488,11.10855284
0.284,28.4,3.791953,3.741078,3.842828,11.07966284
0.286,28.6,3.79256,3.741757,3.843363,11.05077284
0.288,28.8,3.793105,3.742567,3.843643,11.02187284
0.29,29,3.7936255,3.742987,3.844264,10.99297284
0.292,29.2,3.7942065,3.743974,3.844439,10.96405284
0.294,29.4,3.794679,3.744623,3.844735,10.93514284
0.296,29.6,3.7950975,3.745222,3.844973,10.90622284
0.298,29.8,3.795858,3.746165,3.845551,10.87247284
0.3,30,3.7962765,3.746987,3.845566,10.84353284
0.302,30.2,3.7966455,3.747405,3.845886,10.81460284
0.304,30.4,3.7972525,3.748151,3.846354,10.78565284
0.306,30.6,3.7976965,3.748614,3.846779,10.75671284
