Data Point,Date_Time,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,Current(A),Voltage(V),Power (W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge Energy (Wh),Discharge_Energy(Wh),Capacity (Ah),mAh/g,ACR (Ohm),dV/dt (V/s),Internal_Resistance(Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,MetaCode_MV_UD4,MetaCode_MV_UD5,MetaCode_MV_UD6,MetaCode_MV_UD7,MetaCode_MV_UD8,MetaCode_MV_UD16,Aux_Temperature_1(C),Aux_dT/dt_1 (C/s),Aux_Temperature_2 (C),Aux_dT/dt_2 (C/s),Aux_Temperature_3 (C),Aux_dT/dt_3 (C/s),Time,Date,Force1,Force2,Force,Pressure
38,2023/06/06 12:48:03,3821.6873,10.0005,1,5,0,0,0,0,-2.74926,4.179283,-11.48993558058,2.950061e-7,0.007612563,1.23977e-6,0.03183444,0.007612563,0.065064641025641,,-0.0005107772,,0.7728007,237.1381,,,,,,,,,,26.69563,-0.3821626,26.29329,-0.5352649,26.16705,-0.5955226,12:48:03,2023/06/06,92.67,105.11,197.77,37.69991803122439
40,2023/06/06 12:48:23,3841.6874,30.0006,1,5,0,0,0,0,-2.749466,4.174016,-11.476315075456,2.950061e-7,0.02288688,1.23977e-6,0.09562905,0.02288688,0.195614358974359,,-0.0006586449,,2.295796,0.6453729,,,,,,,,,,27.15518,0.4881538,26.78154,0.3844161,26.66853,0.2544454,12:48:23,2023/06/06,92.09,103.68,195.77,37.318667912083725
41,2023/06/06 12:48:33,3851.6877,40.0009,1,5,0,0,0,0,-2.750015,4.173088,-11.47605459632,2.950061e-7,0.03051963,1.23977e-6,0.1274844,0.03051963,0.260851538461538,,-0.000136935,,,,,,,,,,,,,27.0024753581774,0.50271901824684,26.8703032200604,0.403800323484213,26.8563423449554,0.394969935691498,12:48:33,2023/06/06,91.87,103.14,195.01,37.173792866810274
44,2023/06/06 12:49:03,3881.6879,70.0011,1,5,0,0,0,0,-2.75032,4.167619,-11.46228588808,2.950061e-7,0.05343474,1.23977e-6,0.2230448,0.05343474,0.456707179487179,,-0.000101336,,,,,,,,,,,,,26.66455,-0.1916737,26.29064,-0.4347785,26.13601,-0.546486,12:49:03,2023/06/06,91.08,101.33,192.4,36.67626146133171
45,2023/06/06 12:49:13,3891.6871,80.0003,1,5,0,0,0,0,-2.74897,4.166354,-11.45318215538,2.950061e-7,0.06107174,1.23977e-6,0.2548687,0.06107174,0.521980683760684,,-0.0001490581,,,0.2206542,,,,,,,,,,26.5396645637736,-0.584954202962016,26.5069920837426,-0.49704391078721,26.7065563363165,-0.288454281926287,12:49:13,2023/06/06,90.79,100.78,191.58,36.51994891248404
48,2023/06/06 12:49:43,3921.687,110.0002,1,5,0,0,0,0,-2.749313,4.162138,-11.443020111194,2.950061e-7,0.0839864,1.23977e-6,0.3502877,0.0839864,0.717832478632479,,-0.0001459731,,,,,,,,,,,,,26.59612,0.2299926,26.22928,-0.1412031,26.15286,-0.4134556,12:49:43,2023/06/06,90.03,99.01,189.03,36.0338550105797
49,2023/06/06 12:49:53,3931.6884,120.0016,1,5,0,0,0,0,-2.748917,4.160688,-11.437385974896,2.950061e-7,0.09162795,1.23977e-6,0.3820855,0.09162795,0.783144871794872,,-0.0001701738,,5.124604,,,,,,,,,,,26.4881755177703,-0.330710228851038,26.2350825683252,-0.386502257072412,26.286383247474,-0.372901338513114,12:49:53,2023/06/06,89.84,98.43,188.27,35.88897996530624
51,2023/06/06 12:50:13,3951.6881,140.0013,1,5,0,0,0,0,-2.74942,4.157403,-11.43044695626,2.950061e-7,0.1068963,1.23977e-6,0.4455871,0.1068963,0.91364358974359,,-0.000112365,,,,,,,,,,,,,26.72674,-0.4616248,26.67272,-0.2212952,26.82933,0.111958,12:50:13,2023/06/06,89.27,97.23,186.49,35.549667359271055
52,2023/06/06 12:50:23,3961.6881,150.0013,1,5,0,0,0,0,-2.74971,4.156003,-11.42780300913,2.950061e-7,0.1145383,1.23977e-6,0.477354,0.1145383,0.978959829059829,,-0.0001704561,,,0.1909495,,,,,,,,,,27.01092,0.226319,26.84323,0.4211482,26.86477,-0.2939194,12:50:23,2023/06/06,89.04,96.65,185.7,35.39907356221049
55,2023/06/06 12:50:53,3991.6877,180.0009,1,5,0,0,0,0,-2.750244,4.151827,-11.418537295788,2.950061e-7,0.1374532,1.23977e-6,0.5725449,0.1374532,1.17481367521368,,-0.0002171734,,,,,,,,,,,,,26.48678,-0.4166527,26.38302,-0.2627492,26.81289,0.5298074,12:50:53,2023/06/06,88.25,95.0,183.25,34.93204216626318
